,b cell,endothelial cell,epithelial cell,fibroblast,macrophage,nk cell,pericyte cell,smooth muscle,t cell
GTEX-1117F-2426,-3.42090916003929,1.898501267523017,-0.7068011585715024,2.5321690179500833,0.33916987177796715,-1.711308143826538,-3.1041992175472357,3.0571305096543986,1.1162470130790991
GTEX-113JC-2226,-3.4313840996994935,1.897757242664517,-0.8398582961792229,2.395164962953468,-0.03929770482060104,-2.3092935018784875,-2.182577982141603,3.0834746158479387,1.4260147632534839
GTEX-11DXX-1526,-3.446545696223358,1.6054141220912967,-0.2796512356261038,2.4590325228042054,0.26447167751435646,-2.039235830088299,-2.506239318180837,3.16184379269651,0.7809099650122275
GTEX-11EM3-1926,-2.99684010251368,2.1358963883846425,-0.9865723881215496,2.4529677033769217,0.5237852190642157,-2.99684010251368,-2.9968401025136795,3.8293593372778694,1.0350840475589405
GTEX-11EMC-1826,-3.377438886866711,1.4953923606745396,-0.4749587735783219,2.031320846630817,-0.6834803338049132,-1.1722068174404063,-1.8176484602444274,2.7245634117472846,1.2744566528821366
GTEX-11GSP-2426,-3.508902093441301,1.9354232041388388,-1.0008453185035269,2.1630779609999338,0.10837781313825973,-2.290058267448789,-1.8093165083107705,3.0167729410536377,1.3854702683737172
GTEX-11I78-2126,-3.4686221650003284,1.5243017637390117,-0.47590881648556876,2.588308152781709,-0.693361477506517,-1.639224806174318,-2.074827734506278,3.0487764528625076,1.1905586302897808
GTEX-11P81-1626,-3.167868810420024,2.0751658941929563,-0.870633779194605,2.5579786721479847,0.18102478642626293,-2.657176228615408,-2.5544589001203555,3.5377950210964926,0.8981733444866946
GTEX-11ZTS-2326,-3.696976082338507,1.5860786230398816,-0.7562559145602267,2.122606833447798,-0.30002084758700687,-1.0872551545255542,-1.328289945873668,2.5339206286618587,0.9261918597354222
GTEX-12WSD-2826,-3.764955958985622,1.5675063960328282,-0.618342668494914,2.0985764991619615,-0.4647185043452945,-0.9377785427756802,-1.5932918341737055,2.6898136951772207,1.0231909184032064
GTEX-12WSG-2126,-3.475690432308499,1.8074875365676528,-0.5900041253214842,2.3177264200981478,-0.313622950670054,-1.4178545412941954,-2.5227806756068984,3.118693314065621,1.0760454544697096
GTEX-12WSK-2026,-3.0698811299270274,1.9584541422283022,-0.6489947820410527,2.500044973250375,-0.12803597337362477,-3.0698811299270274,-3.0698811299270274,3.64437860552369,1.8837964241933938
GTEX-12ZZX-2126,-3.530386276332263,1.7205720731760177,-0.8293269970198405,2.3658397866192713,-0.19841901124880215,-1.7344825057353435,-2.133490532923796,2.9509023657337665,1.3887910977309896
GTEX-1313W-2826,-3.2658959221412793,1.6566440624198893,-0.5350925444230629,1.8816686619013643,-0.6145813133143165,-1.5792632613811286,-1.520263906268672,2.4641865030800605,1.5125977201271432
GTEX-131XG-2026,-3.134364679434919,1.949171044805846,-0.1349299075395214,2.844321564395585,0.19807146311741133,-3.134364679434919,-3.1305267003393755,3.4649964839931706,1.0776254104367227
GTEX-131YS-2326,-3.341206952978859,1.3269777826114255,-0.5942026071027741,1.9463248926587124,-0.721439471076011,-0.8104313072723153,-1.4695668218061029,2.3399829493128035,1.3235615356531185
GTEX-132AR-1526,-3.38155585476875,1.8592389071635769,-0.10532842891879625,2.590133254762574,0.44259273347254274,-3.181279651782081,-3.0013631610553557,2.9187029474596367,1.8588592536666537
GTEX-1399S-2226,-3.323854383111627,2.0322540040967305,-0.2625280892359826,2.4032428053398305,0.5544770355505152,-3.059966532468868,-2.915037829011217,3.2285085863579326,1.3429044024826833
GTEX-1399U-1326,-3.19382429646177,2.2409545360024246,-0.26251360630884496,2.210500216045551,0.010451633609924056,-3.1759031055335245,-3.1938242964617705,3.400369439908501,1.9637894791995083
GTEX-139D8-2526,-3.5230711526682006,1.6039777957368386,-0.5022787600195147,2.4266480766802223,-0.2477616213455484,-1.7060808246878825,-2.2925017738383753,2.985395354028935,1.255672906113523
GTEX-13D11-1226,-3.3332413061378827,1.8317486606686737,-0.24683929032807073,2.531342490484752,0.0026068550612857472,-2.1408195237046534,-3.333241306137883,3.213122425610918,1.4753209944828607
GTEX-13FTX-1026,-3.26954429774481,1.9328499385393245,-0.4344470520569986,2.5200925526810383,0.18819332036978517,-2.3218321238143083,-2.889885511762589,3.3953158475985075,0.8792573261900493
GTEX-13N11-1126,-3.142856066256661,2.193007037170997,-0.6250755404656059,2.4604787636176333,0.8626555629353965,-3.142856066256661,-3.1428560662566607,3.539708039523789,0.9977943359877702
GTEX-13OVI-1026,-3.2778496355868545,2.105390578094266,-0.1630433340688023,2.4121290829136144,0.6359199949058573,-3.2778496355868545,-3.2778496355868545,3.239009212580626,1.6041433723350018
GTEX-13OVJ-2326,-3.148065173032094,2.246753418475696,-0.6206904211324378,2.5037152971294176,0.052453158153680235,-3.148065173032094,-3.148065173032094,3.417875798240858,1.8440882682290693
GTEX-13PL7-2026,-3.443675674002487,1.7264541370139965,-0.321946076585957,2.303620763315473,0.14706666728106013,-1.4103266568532928,-3.328741657218457,3.1692309247791215,1.1583175722705419
GTEX-13QBU-1626,-3.124064083512726,1.8546440505939998,-0.4815463729643731,2.5253772973097433,0.02763929052977513,-2.238937078461927,-3.124064083512726,3.672932965374419,0.8880180146438156
GTEX-13S7M-1726,-3.804313166978197,1.5271166685811193,-0.38234032255514355,2.050920112484033,-0.7157501196725872,-0.5293557862949416,-1.5729524912362542,2.445676673992982,0.9809984316789878
GTEX-13U4I-1926,-3.5539006929757684,1.6045530568503508,-0.6397043892287598,2.4445197629038584,-0.3844071382110858,-1.634425954831744,-2.0836405789931347,2.8940879135439515,1.3529180209423308
GTEX-13VXT-1626,-3.4571946902476394,1.3301772121598492,-0.6530266784331121,2.2654552409123454,-0.48125654823128133,-0.3017309182803052,-2.0623938615750914,2.6555949627228816,0.7043752809723509
GTEX-14AS3-1826,-3.1874844795174204,1.1885850844228196,-0.4264777466219703,2.541636672402416,0.02620942084594144,-1.5925464850331725,-2.148581418045096,2.639042013494027,0.9596169380524548
GTEX-14BIM-2226,-3.5070521840345874,1.9737653870811283,-0.3617755768224002,2.0694781066529173,-0.42311576905308323,-2.5495545535385107,-2.003924558764834,2.914478433003644,1.8877007154757268
GTEX-14BIN-1526,-2.983785772983828,1.2763638561312478,-0.607118512695508,2.0545825149276964,-0.5872808451839178,-0.9719240651759753,-1.8109858829698755,2.51201684753793,1.1181318604122288
GTEX-14BMU-1826,-3.0793618937908733,1.9289545069095033,-0.8933632532501348,2.8632166665889986,0.48575768042047773,-3.0793618937908733,-3.0793618937908738,3.545363825870628,1.3081562548331456
GTEX-14JG6-0826,-3.0422073623760606,2.045481478604007,-0.6816775274119345,2.723699567667023,0.5574950594533667,-3.0422073623760606,-3.0422073623760606,3.692761807876349,0.7888617009393701
